叶中晶	230103199507128205	黑龙江省哈尔滨市道里区安阳路1号	8482	410303198712188477	2
耿伊	35020519950712754X	黑龙江省哈尔滨市道里区安阳路1号	1902	450302198712187539	7
赫连友	350205199507127507	哈尔滨市道里区抚利街与抚顺街交会处	4708	230103199507129726	4
庾政	350205199507129844	红领巾街02-2号	4280	410303198712187415	2
云学彩	350205199507127769	哈尔滨市道里区抚利街与抚顺街交会处	8894	513436200003187059	9
庄红永	350205199507129043	顾新路396号	7054	513436200003188297	3
荀露	350205199507128729	哈尔滨市南岗区学府三道街27号	5188	350205199507127507	9
冉有	350205199507127582	南岗区北京街100号	1575	513436200003188211	9
景兴绍	350205199507128921	哈尔滨市道里区抚利街与抚顺街交会处	9353	410303198712189170	3
郭恒月	350205199507128366	黑龙江省哈尔滨市南岗区和兴十一道街28-1号	1174	350205199507127101	2
路言良	350205199507129908	顾新路396号	8694	410303198712187650	7
谈怡奇	350205199507126387	顾新路396号	1133	410303198712188477	5
周淑言	350205199507128104	哈尔滨市道里区顾新路295号	1844	350205199507126387	6
闻莲谦	350205199507127101	哈尔滨市道里区抚利街与抚顺街交会处	10444	35020519950712754X	2
荆和炎	42050519910712845X	哈尔滨市道里区河松街219号	3015	51343620000318945X	3
伊芬	420505199107129292	哈尔滨市道里区顾新路295号	1543	420505199107128513	2
穆贞	420505199107127078	顾新路396号	4274	23010319950712882X	5
江瑞	420505199107127334	黑龙江省哈尔滨市南岗区和兴十一道街28-1号	3449	230103199507128803	3
葛邦泰	420505199107127414	哈尔滨市道里区河松街219号	6059	45030219871218889X	4
齐政策	420505199107129532	哈尔滨市南岗区松花江街139号	8950	310105199107126131	6
幸功	420505199107126550	红领巾街02-2号	5898	410303198712187650	8
沈羽	420505199107127393	红领巾街02-2号	4727	230103199507128483	5
阮育轮	420505199107128097	哈尔滨市道里区顾新路295号	6994	42050519910712845X	5
屈烟纨	420505199107128353	哈尔滨市道里区抚利街与抚顺街交会处	3372	41030319871218605X	6
师强	420505199107128513	哈尔滨市南岗区学府三道街27号	8733	410303198712188899	4
杨以	420505199107127772	哈尔滨市道里区顾新路295号	5771	420505199107128353	4
屈广	310105199107127898	黑龙江省哈尔滨市南岗区和兴十一道街28-1号	9501	410303198712187415	5
封鸿馨	310105199107126377	黑龙江省哈尔滨市道里区安阳路1号	8256	350205199507128729	4
姜梅	310105199107128372	黑龙江省哈尔滨市南岗区和兴十一道街28-1号	5855	230103199507129080	7
欧胜	310105199107127732	哈尔滨市道里区河松街219号	9127	410303198712187650	2
司马善	310105199107127599	哈尔滨市道里区河松街219号	2342	310105199107129439	4
池恒	310105199107126756	南岗区北京街100号	7875	310105199107126377	5
戴宏蝶	310105199107129279	哈尔滨市南岗区松花江街139号	9001	35020519950712754X	1
申屠影	310105199107126510	南岗区北京街100号	1607	310105199107126115	3
马军	310105199107129914	哈尔滨市道里区顾新路295号	2805	450302198712189673	1
阙明韦	310105199107126537	顾新路396号	2374	45030219871218889X	7
孟祥霭	310105199107129439	哈尔滨市道里区河松街219号	5253	410303198712188274	4
管聪宇	310105199107126131	哈尔滨市道里区河松街219号	6493	410303198712189170	3
禄艳珠	310105199107126115	哈尔滨市南岗区学府三道街27号	10151	420505199107129532	7
桑锦唯	450302198712186632	大民兴街9号	3682	410303198712188477	9
唐玛	450302198712188734	哈尔滨市道里区河松街219号	6058	230103199507128205	1
魏裕	450302198712187870	顾新路396号	4580	310105199107126131	4
姚咏咏	450302198712188013	黑龙江省哈尔滨市道里区安阳路1号	8242	51343620000318945X	8
惠红纨	450302198712188195	哈尔滨市道里区抚利街与抚顺街交会处	7386	350205199507129043	9
太叔滢	450302198712187539	黑龙江省哈尔滨市道里区安阳路1号	1247	230103199507127560	7
沈真	45030219871218889X	哈尔滨市道里区顾新路295号	3718	41030319871218605X	8
怀彦翰	450302198712187539	哈尔滨市道里区顾新路295号	1164	513436200003186558	3
仲孙言	450302198712186712	哈尔滨市南岗区松花江街139号	9015	450302198712189032	2
缪露	450302198712189673	哈尔滨市南岗区松花江街139号	9525	410303198712186359	2
雷致	450302198712189032	哈尔滨市道里区顾新路295号	3650	350205199507127507	2
韩良俊	450302198712188873	南岗区北京街100号	8915	420505199107127334	2
童洋顺	450302198712188558	哈尔滨市道里区河松街219号	6888	350205199507127582	4
路恒萍	410303198712188530	大民兴街9号	4980	41030319871218779X	2
夏侯行	410303198712188477	黑龙江省哈尔滨市南岗区和兴十一道街28-1号	4261	513436200003189353	7
上官唯	410303198712187917	哈尔滨市道里区抚利街与抚顺街交会处	6125	310105199107129439	3
张红	410303198712187415	哈尔滨市南岗区松花江街139号	8446	230103199507128803	8
苗栋发	410303198712187650	哈尔滨市南岗区学府三道街27号	10415	450302198712189673	5
易倩茗	410303198712189672	哈尔滨市南岗区学府三道街27号	6475	513436200003186558	6
卓锦婕	410303198712189170	哈尔滨市道里区顾新路295号	8952	450302198712186632	2
云彩弘	410303198712188899	南岗区北京街100号	7721	310105199107129279	1
邵顺	410303198712188274	哈尔滨市南岗区松花江街139号	8858	513436200003188916	1
秦瑶	410303198712187634	南岗区北京街100号	9579	513436200003189273	7
骆瑞	41030319871218605X	哈尔滨市南岗区松花江街139号	10469	420505199107128353	4
姚香	41030319871218779X	哈尔滨市道里区河松街219号	8505	350205199507128921	3
瞿泰承	410303198712186359	哈尔滨市南岗区松花江街139号	3025	230103199507126568	8
